attacker_steamid,attacker_name,total_wpa,kills,wpa_per_kill
76561198074762801,m0NESY,13.79,177,0.0779
76561198386265483,donk,13.451,135,0.0996
76561199032006224,kyousuke,12.879,168,0.0767
76561198872013168,tN1R,10.3,105,0.0981
76561198041683378,NiKo,10.29,155,0.0664
76561198058500492,KSCERATO,10.263,107,0.0959
76561198995880877,zont1x,10.187,97,0.105
76561198081484775,sh1ro,9.895,143,0.0692
76561198134401925,YEKINDAR,9.399,108,0.087
76561198164970560,yuurih,8.969,108,0.083
76561198309839541,SunPayus,8.794,84,0.1047
76561197996678278,TeSeS,8.199,123,0.0667
76561199063238565,magixx,8.055,107,0.0753
76561199046478501,MATYS,8.032,97,0.0828
76561198113666193,ZywOo,7.135,107,0.0667
76561198068002993,HeavyGod,6.802,86,0.0791
76561198200982290,molodoy,6.796,124,0.0548
76561198012872053,huNter-,6.534,96,0.0681
76561197967432889,MAJ3R,6.029,50,0.1206
76561197960690195,FalleN,5.565,81,0.0687
76561198053126645,NertZ,5.528,78,0.0709
76561198083485506,woxic,5.528,58,0.0953
76561197989744167,apEX,5.506,82,0.0671
76561197989430253,karrigan,5.226,94,0.0556
76561197973140692,mezii,4.865,67,0.0726
76561198138828475,Brollan,4.738,37,0.128
76561198067722198,luchov,4.595,77,0.0597
76561198812513923,Wicadia,4.587,61,0.0752
76561199313968259,cmtry,4.462,43,0.1038
76561198146207066,Boombl4,4.092,61,0.0671
76561199100725838,dziugss,4.025,52,0.0774
76561197991272318,ropz,3.931,85,0.0462
76561198216891576,dgt,3.906,78,0.0501
76561198319723208,HUASOPEEK,3.82,74,0.0516
76561198044118796,XANTARES,3.818,65,0.0587
76561198355739212,torzsi,3.768,48,0.0785
76561198372023214,Magnojez,3.747,59,0.0635
76561198875633179,dem0n,3.628,38,0.0955
76561198991278425,Krabeni,3.607,40,0.0902
76561198327068178,soulfly,3.348,43,0.0779
76561198972795853,lauNX,3.272,44,0.0744
76561197978835160,flameZ,3.216,67,0.048
76561198998266210,xelex,3.21,42,0.0764
76561198859428279,d1Ledez,3.128,59,0.053
76561198063336407,Spinx,2.986,39,0.0766
76561198195642865,meyern,2.697,60,0.0449
76561198838822582,Mzinho,2.16,34,0.0635
76561198193174134,xertioN,1.837,44,0.0417
76561198242950384,max,1.708,55,0.031
76561198059614402,zorte,1.656,40,0.0414
76561198014259134,FL4MUS,1.409,42,0.0335
